'Plain Papadum', 'Garlic Naan', 'Keema Naan', 'Mini Bhaji', 'Meat Samosa', 'Mushroom Rice', 'Onion Rice', 'Garlic Rice', 'Saag Rice', 'Madras', 'Chicken Tikka Masala', 'Madras', 'Bhuna',,,,,,,,,,,,,,,,
'Mango Chutney', 'Plain Papadum', 'Naan', 'Plain Rice', 'French Fries', 'Chicken Tikka',,,,,,,,,,,,,,,,,,,,,,,
'Keema Naan', 'Pilau Rice', 'Onion Bhaji', 'Meat Samosa', 'Lemon Rice', 'Chicken Tikka Jalfrezi', 'Lamb Chilli Masala',,,,,,,,,,,,,,,,,,,,,,
'Pilau Rice', 'Keema Naan', 'Onion Bhaji', 'Meat Samosa', 'Lemon Rice', 'Chicken Tikka Jalfrezi', 'Lamb Chilli Masala',,,,,,,,,,,,,,,,,,,,,,
'Naan', 'Pilau Rice', 'Mushroom Rice', 'Kurma', 'Chicken Tikka Masala',,,,,,,,,,,,,,,,,,,,,,,,
'Plain Rice', 'Mushroom', 'Chicken Tikka Karahi',,,,,,,,,,,,,,,,,,,,,,,,,,
'Peshwari Naan', 'Onion Bhaji', 'Kurma',,,,,,,,,,,,,,,,,,,,,,,,,,
'Naan', 'Plain Rice', 'Pilau Rice', 'Kurma', 'Persian Lamb Biryani', 'Tandoori King Prawn Garlic',,,,,,,,,,,,,,,,,,,,,,,
'Mint Sauce', 'Plain Papadum', 'Naan', 'Keema Rice', 'Chicken Chaat', 'Lamb Tikka', 'Bombay Aloo', 'Kurma',,,,,,,,,,,,,,,,,,,,,
'Pilau Rice', 'Special Fried Rice', 'Vegetable Curry', 'Curry', 'Garlic Chicken',,,,,,,,,,,,,,,,,,,,,,,,
'Naan', 'Plain Rice', 'Aloo Brinjal', 'Chicken Karahi',,,,,,,,,,,,,,,,,,,,,,,,,
'Garlic Naan', 'Crispy Aloo', 'Stuffed Paratha', 'Chicken Tikka', 'King Prawn Butterfly', 'Garlic Chicken', 'Chicken Tikka Masala', 'Tandoori King Prawn Garlic',,,,,,,,,,,,,,,,,,,,,
'Onion Chutney', 'Mango Chutney', 'Plain Papadum', 'Naan', 'Keema Naan', 'Sheek Kehab', 'Mixed Starter', 'Vegetable Curry', 'Bombay Aloo',,,,,,,,,,,,,,,,,,,,
'Naan', 'Tandoori Roti', 'Plain Rice', 'Aloo Chaat', 'Saag Paneer', 'Bhindi Bhajee', 'Chicken Tikka Masala',,,,,,,,,,,,,,,,,,,,,,
'Garlic Naan', 'Meat Samosa', 'Mini Bhaji', 'Sheek Kebab (Main)', 'Chicken Tikka Pasanda',,,,,,,,,,,,,,,,,,,,,,,,
'Garlic Naan', 'Kulcha Naan', 'Onion Bhaji', 'Garlic Rice', 'Keema Rice', 'Chicken Pakora', 'Grapes Special', 'Butter Chicken', 'Chicken Sylhet',,,,,,,,,,,,,,,,,,,,
'Garlic Rice', 'Lamb Biryani', 'Chicken Biryani', 'Prawn Balti',,,,,,,,,,,,,,,,,,,,,,,,,
'Mint Sauce', 'Plain Papadum', 'Naan', 'Mushroom Rice', 'King Prawn Puree', 'Bombay Aloo', 'Chicken Royal', 'Chicken Tikka Masala', 'Chicken Tikka (Main)',,,,,,,,,,,,,,,,,,,,
